hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 621.214, 322.06, 263.072, 168.981, 423.296, 206.119
0, 1800.00000, 621.245, 322.06, 263.072, 168.947, 423.264, 206.148
0, 2700.00000, 653.012, 262.474, 329.606, 124.806, 474.565, 157.768
1, 0.00000, 653.015, 262.49, 329.64, 124.772, 474.549, 157.748
1, 900.00000, 653.015, 262.489, 329.639, 124.773, 474.549, 157.749
1, 1800.00000, 580.608, 218.587, 281.579, 93.8484, 415.292, 123.501
1, 2700.00000, 580.6, 218.609, 281.592, 93.8401, 415.274, 123.499
2, 0.00000, 580.6, 218.608, 281.592, 93.8404, 415.275, 123.499
2, 900.00000, 580.6, 218.608, 281.592, 93.8404, 415.275, 123.499
2, 1800.00000, 580.6, 218.608, 281.592, 93.8404, 415.275, 123.499
2, 2700.00000, 585.195, 205.712, 293.924, 84.4253, 424.257, 113.166
3, 0.00000, 585.195, 205.722, 293.927, 84.424, 424.256, 113.164
3, 900.00000, 585.195, 205.722, 293.927, 84.4241, 424.256, 113.164
3, 1800.00000, 606.583, 187.385, 326.532, 70.7996, 451.964, 98.2351
3, 2700.00000, 606.586, 187.39, 326.548, 70.7846, 451.959, 98.2227
4, 0.00000, 606.586, 187.39, 326.548, 70.7849, 451.96, 98.223
4, 900.00000, 606.586, 187.39, 326.548, 70.7849, 451.96, 98.223
4, 1800.00000, 606.586, 187.39, 326.548, 70.7849, 451.96, 98.223
4, 2700.00000, 545.096, 181.613, 267.334, 67.3716, 391.464, 94.2789
5, 0.00000, 545.098, 181.61, 267.331, 67.3674, 391.462, 94.2963
5, 900.00000, 545.098, 181.61, 267.331, 67.3677, 391.462, 94.296
5, 1800.00000, 605.047, 202.097, 316.311, 81.4975, 445.591, 110.001
5, 2700.00000, 605.06, 202.076, 316.307, 81.4952, 445.606, 110.002
6, 0.00000, 605.06, 202.076, 316.307, 81.4952, 445.605, 110.002
6, 900.00000, 605.06, 202.076, 316.307, 81.4951, 445.605, 110.002
6, 1800.00000, 605.06, 202.076, 316.307, 81.4951, 445.605, 110.002
6, 2700.00000, 535.993, 243.892, 306.058, 106.5, 417.272, 146.066
7, 0.00000, 535.978, 243.955, 306.117, 106.479, 417.253, 146.026
7, 900.00000, 535.979, 243.953, 306.115, 106.48, 417.254, 146.028
7, 1800.00000, 518.211, 317.174, 330.432, 150.793, 431.797, 204.254
7, 2700.00000, 518.192, 317.167, 330.433, 150.834, 431.819, 204.246
8, 0.00000, 518.193, 317.167, 330.433, 150.832, 431.818, 204.246
8, 900.00000, 518.193, 317.167, 330.433, 150.832, 431.818, 204.246
8, 1800.00000, 518.193, 317.167, 330.433, 150.832, 431.818, 204.246
8, 2700.00000, 437.155, 382.007, 284.188, 192.973, 377.125, 258.213
9, 0.00000, 437.155, 382.007, 284.187, 192.971, 377.126, 258.216
9, 900.00000, 437.155, 382.007, 284.187, 192.971, 377.126, 258.216
9, 1800.00000, 439.123, 430.757, 413.306, 217.178, 464.681, 302.773
9, 2700.00000, 439.117, 430.754, 413.313, 217.187, 464.697, 302.777
10, 0.00000, 439.117, 430.754, 413.313, 217.187, 464.696, 302.776
10, 900.00000, 439.117, 430.754, 413.313, 217.187, 464.696, 302.776
10, 1800.00000, 439.117, 430.754, 413.313, 217.187, 464.696, 302.776
10, 2700.00000, 297.703, 491.241, 465.435, 246.129, 451.985, 361.254
11, 0.00000, 297.694, 491.231, 465.425, 246.125, 451.99, 361.255
11, 900.00000, 297.694, 491.231, 465.426, 246.125, 451.99, 361.255
11, 1800.00000, 320.001, 538.508, 526.596, 274.737, 501.902, 403.796
11, 2700.00000, 320.019, 538.521, 526.568, 274.723, 501.904, 403.795
12, 0.00000, 320.019, 538.521, 526.567, 274.723, 501.905, 403.796
12, 900.00000, 320.019, 538.521, 526.567, 274.723, 501.905, 403.796
12, 1800.00000, 320.019, 538.521, 526.567, 274.723, 501.905, 403.796
12, 2700.00000, 272.094, 538.773, 522.394, 272.297, 482.125, 406.084
13, 0.00000, 272.099, 538.776, 522.426, 272.313, 482.091, 406.065
13, 900.00000, 272.1, 538.776, 522.426, 272.313, 482.09, 406.065
13, 1800.00000, 293.854, 536.821, 546.844, 271.617, 505.251, 405.518
13, 2700.00000, 293.905, 536.867, 546.888, 271.641, 505.274, 405.534
14, 0.00000, 293.906, 536.867, 546.887, 271.641, 505.274, 405.534
14, 900.00000, 293.906, 536.867, 546.887, 271.641, 505.274, 405.534
14, 1800.00000, 293.906, 536.867, 546.887, 271.641, 505.274, 405.534
14, 2700.00000, 278.816, 544.421, 536.368, 276.154, 493.694, 411.576
15, 0.00000, 278.803, 544.414, 536.386, 276.165, 493.699, 411.582
15, 900.00000, 278.803, 544.414, 536.387, 276.166, 493.699, 411.582
15, 1800.00000, 298.932, 549.148, 530.947, 280.634, 497.77, 413.95
15, 2700.00000, 298.928, 549.145, 530.929, 280.625, 497.792, 413.962
16, 0.00000, 298.927, 549.144, 530.93, 280.625, 497.792, 413.962
16, 900.00000, 298.927, 549.144, 530.93, 280.625, 497.792, 413.962
16, 1800.00000, 298.927, 549.144, 530.93, 280.625, 497.792, 413.962
16, 2700.00000, 374.741, 533.736, 460.419, 277.042, 478.82, 392.132
17, 0.00000, 374.704, 533.698, 460.373, 277.037, 478.914, 392.179
17, 900.00000, 374.702, 533.697, 460.375, 277.038, 478.915, 392.179
17, 1800.00000, 494.338, 484.812, 367.024, 256.377, 457.812, 342.066
17, 2700.00000, 494.338, 484.824, 367.029, 256.372, 457.787, 342.054
18, 0.00000, 494.339, 484.824, 367.028, 256.371, 457.787, 342.054
18, 900.00000, 494.339, 484.824, 367.028, 256.371, 457.787, 342.054
18, 1800.00000, 494.339, 484.824, 367.028, 256.371, 457.787, 342.054
18, 2700.00000, 620.627, 461.92, 262.423, 259.852, 432.235, 316.073
19, 0.00000, 620.65, 461.893, 262.39, 259.846, 432.232, 316.098
19, 900.00000, 620.649, 461.894, 262.391, 259.846, 432.232, 316.097
19, 1800.00000, 648.902, 443.834, 218.424, 256.231, 412.482, 300.161
19, 2700.00000, 648.928, 443.808, 218.39, 256.231, 412.475, 300.183
20, 0.00000, 648.928, 443.808, 218.39, 256.231, 412.475, 300.182
20, 900.00000, 648.928, 443.808, 218.39, 256.231, 412.475, 300.183
20, 1800.00000, 648.928, 443.808, 218.39, 256.231, 412.475, 300.183
20, 2700.00000, 682.198, 416.08, 267.262, 234.961, 454.698, 277.014
21, 0.00000, 682.2, 416.082, 267.276, 234.947, 454.692, 277.01
21, 900.00000, 682.2, 416.082, 267.276, 234.948, 454.692, 277.01
21, 1800.00000, 653.902, 414.665, 239.439, 234.622, 424.98, 279.112
21, 2700.00000, 653.899, 414.682, 239.469, 234.598, 424.953, 279.112
22, 0.00000, 653.899, 414.681, 239.468, 234.598, 424.953, 279.112
22, 900.00000, 653.899, 414.681, 239.468, 234.598, 424.953, 279.112
22, 1800.00000, 653.899, 414.681, 239.468, 234.598, 424.953, 279.112
22, 2700.00000, 643.377, 376.239, 250.321, 206.521, 426.28, 248.24
23, 0.00000, 643.375, 376.248, 250.337, 206.508, 426.269, 248.236
23, 900.00000, 643.375, 376.248, 250.337, 206.508, 426.269, 248.237
23, 1800.00000, 627.26, 318.696, 266.758, 164.611, 428.238, 202.143
23, 2700.00000, 627.263, 318.701, 266.757, 164.605, 428.236, 202.164
24, 0.00000, 627.262, 318.701, 266.757, 164.605, 428.237, 202.164
