hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, -233.34, -0.00287706, -233.33, -0.00138085, -233.333, 0.00273379, 0, 0
0, 1800.00000, -233.333, -2.16003E-005, -233.333, -3.19321E-006, -233.333, 1.67823E-005, 0, 0
0, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
1, 1800.00000, -233.329, 0.00145648, -233.335, 0.00118861, -233.333, -0.00180227, 0, 0
1, 2700.00000, -233.333, 6.99369E-006, -233.333, 2.87285E-006, -233.333, -6.91049E-006, 0, 0
2, 0.00000, -233.333, 3.00183E-008, -233.333, 6.57537E-009, -233.333, -2.59253E-008, 0, 0
2, 900.00000, -233.333, 1.18921E-010, -233.333, 7.18865E-012, -233.333, -8.92032E-011, 0, 0
2, 1800.00000, -233.333, 9.68612E-013, -233.333, 2.32831E-013, -233.333, -1.60071E-012, 0, 0
2, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 1800.00000, -233.335, 0.000568261, -233.333, -0.00111921, -233.331, 0.000445037, 0, 0
3, 2700.00000, -233.333, -2.60647E-007, -233.333, -3.15471E-006, -233.333, 2.66883E-006, 0, 0
4, 0.00000, -233.333, -5.02605E-009, -233.333, -9.69732E-009, -233.333, 1.08977E-008, 0, 0
4, 900.00000, -233.333, -2.79015E-011, -233.333, -2.73576E-011, -233.333, 4.01342E-011, 0, 0
4, 1800.00000, -233.333, 1.2551E-013, -233.333, -1.60071E-013, -233.333, -5.23869E-013, 0, 0
4, 2700.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 900.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 1800.00000, -233.331, 0.000571432, -233.333, 0.000557276, -233.333, -0.000335263, 0, 0
5, 2700.00000, -233.333, 2.23283E-006, -233.333, 1.70589E-006, -233.333, -2.34072E-006, 0, 0
6, 0.00000, -233.333, 9.38164E-009, -233.333, 4.80638E-009, -233.333, -9.65875E-009, 0, 0
