Hour=0, Sec=900, ControlIter=1, Element=Regulator.reg1a, Action= CHANGED 1 TAPS TO 1.00625.
Hour=0, Sec=900, ControlIter=2, Element=Regulator.reg1a, Action= CHANGED 1 TAPS TO 1.0125.
Hour=0, Sec=900, ControlIter=3, Element=Regulator.reg1a, Action= CHANGED 1 TAPS TO 1.01875.
Hour=0, Sec=900, ControlIter=4, Element=Regulator.reg1a, Action= CHANGED 1 TAPS TO 1.025.
Hour=0, Sec=900, ControlIter=5, Element=Regulator.reg4c, Action= CHANGED 1 TAPS TO 1.00625.
Hour=0, Sec=900, ControlIter=5, Element=Regulator.reg4b, Action= CHANGED 1 TAPS TO 1.00625.
Hour=0, Sec=900, ControlIter=5, Element=Regulator.reg4a, Action= CHANGED 1 TAPS TO 1.00625.
Hour=0, Sec=900, ControlIter=5, Element=Regulator.reg3a, Action= CHANGED 1 TAPS TO 1.00625.
Hour=0, Sec=900, ControlIter=6, Element=Regulator.reg4c, Action= CHANGED 1 TAPS TO 1.0125.
Hour=0, Sec=900, ControlIter=6, Element=Regulator.reg4b, Action= CHANGED 1 TAPS TO 1.0125.
Hour=0, Sec=900, ControlIter=6, Element=Regulator.reg4a, Action= CHANGED 1 TAPS TO 1.0125.
Hour=0, Sec=900, ControlIter=7, Element=Regulator.reg4c, Action= CHANGED 1 TAPS TO 1.01875.
Hour=0, Sec=900, ControlIter=7, Element=Regulator.reg4a, Action= CHANGED 1 TAPS TO 1.01875.
Hour=0, Sec=900, ControlIter=8, Element=Regulator.reg4c, Action= CHANGED 1 TAPS TO 1.025.
Hour=0, Sec=900, ControlIter=8, Element=Regulator.reg4a, Action= CHANGED 1 TAPS TO 1.025.
Hour=0, Sec=900, ControlIter=9, Element=Regulator.reg4a, Action= CHANGED 1 TAPS TO 1.03125.
Hour=0, Sec=900, ControlIter=10, Element=Regulator.reg4a, Action= CHANGED 1 TAPS TO 1.0375.
