hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 1007.41, 347.773, 639.013, 179.574, 805.749, 220.134
0, 1800.00000, 1007.38, 347.748, 639.024, 179.582, 805.748, 220.136
0, 2700.00000, 987.42, 285.736, 655.359, 135.617, 805.355, 171.441
1, 0.00000, 987.369, 285.714, 655.374, 135.629, 805.368, 171.443
1, 900.00000, 987.369, 285.714, 655.374, 135.629, 805.367, 171.443
1, 1800.00000, 810.788, 230.104, 506.074, 97.5457, 643.354, 128.961
1, 2700.00000, 810.789, 230.105, 506.073, 97.5444, 643.366, 128.969
2, 0.00000, 810.789, 230.105, 506.073, 97.5444, 643.366, 128.97
2, 900.00000, 810.789, 230.105, 506.073, 97.5444, 643.366, 128.97
2, 1800.00000, 810.789, 230.105, 506.073, 97.5444, 643.366, 128.97
2, 2700.00000, 858.438, 221.35, 560.592, 90.8702, 694.849, 121.683
3, 0.00000, 858.441, 221.354, 560.593, 90.8712, 694.849, 121.684
3, 900.00000, 858.441, 221.354, 560.593, 90.8712, 694.849, 121.684
3, 1800.00000, 845.128, 200.861, 559.228, 76.3373, 688.005, 105.584
3, 2700.00000, 845.115, 200.852, 559.227, 76.3367, 688.005, 105.584
4, 0.00000, 845.115, 200.852, 559.227, 76.3367, 688.005, 105.584
4, 900.00000, 845.115, 200.852, 559.227, 76.3367, 688.005, 105.584
4, 1800.00000, 845.115, 200.852, 559.227, 76.3367, 688.005, 105.584
4, 2700.00000, 840.798, 198.177, 556.373, 74.4524, 684.48, 103.497
5, 0.00000, 840.786, 198.17, 556.373, 74.4519, 684.473, 103.493
5, 900.00000, 840.786, 198.17, 556.373, 74.4519, 684.473, 103.493
5, 1800.00000, 829.009, 214.019, 534.578, 85.8647, 667.233, 116.099
5, 2700.00000, 829.022, 214.031, 534.58, 85.8673, 667.237, 116.101
6, 0.00000, 829.022, 214.031, 534.58, 85.8672, 667.237, 116.101
6, 900.00000, 829.022, 214.031, 534.58, 85.8672, 667.237, 116.101
6, 1800.00000, 829.022, 214.031, 534.58, 85.8672, 667.237, 116.101
6, 2700.00000, 823.688, 255.151, 504.42, 115.446, 648.335, 148.729
7, 0.00000, 823.729, 255.197, 504.407, 115.433, 648.364, 148.753
7, 900.00000, 823.729, 255.197, 504.406, 115.433, 648.364, 148.753
7, 1800.00000, 926.227, 333.633, 563.453, 170.465, 727.411, 209.824
7, 2700.00000, 926.226, 333.631, 563.454, 170.467, 727.396, 209.811
8, 0.00000, 926.226, 333.631, 563.454, 170.467, 727.396, 209.811
8, 900.00000, 926.226, 333.631, 563.454, 170.467, 727.396, 209.811
8, 1800.00000, 926.226, 333.631, 563.454, 170.467, 727.396, 209.811
8, 2700.00000, 944.406, 399.068, 541.646, 216.434, 723.753, 260.811
