hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 2360.22, 2412.83, 2382.74, 0, 13.5386, 13.5386, 13.5386, 0.196881
0, 1800.00000, 2360.22, 2412.83, 2382.74, 0, 13.5386, 13.5386, 13.5386, 0.196923
0, 2700.00000, 2372.88, 2425.03, 2397.07, 0, 12.1239, 12.1239, 12.1239, 0.161071
1, 0.00000, 2372.88, 2425.03, 2397.06, 0, 12.1239, 12.1239, 12.1239, 0.161173
1, 900.00000, 2372.88, 2425.03, 2397.06, 0, 12.1239, 12.1239, 12.1239, 0.161173
1, 1800.00000, 2380.36, 2428.06, 2402.46, 0, 11.2034, 11.2034, 11.2034, 0.138988
1, 2700.00000, 2380.37, 2428.06, 2402.46, 0, 11.2034, 11.2034, 11.2034, 0.138972
2, 0.00000, 2380.37, 2428.06, 2402.46, 0, 11.2034, 11.2034, 11.2034, 0.138972
2, 900.00000, 2380.37, 2428.06, 2402.46, 0, 11.2034, 11.2034, 11.2034, 0.138972
2, 1800.00000, 2380.37, 2428.06, 2402.46, 0, 11.2034, 11.2034, 11.2034, 0.138972
2, 2700.00000, 2389.44, 2432.67, 2408.59, 0, 10.9008, 10.9008, 10.9008, 0.130793
3, 0.00000, 2389.44, 2432.67, 2408.59, 0, 10.9008, 10.9008, 10.9008, 0.130902
3, 900.00000, 2389.44, 2432.67, 2408.59, 0, 10.9008, 10.9008, 10.9008, 0.130902
3, 1800.00000, 2394.14, 2434.84, 2412.19, 0, 10.4459, 10.4459, 10.4459, 0.119611
3, 2700.00000, 2394.14, 2434.84, 2412.19, 0, 10.4459, 10.4459, 10.4459, 0.119562
4, 0.00000, 2394.14, 2434.84, 2412.19, 0, 10.4459, 10.4459, 10.4459, 0.119562
4, 900.00000, 2394.14, 2434.84, 2412.19, 0, 10.4459, 10.4459, 10.4459, 0.119562
4, 1800.00000, 2394.14, 2434.84, 2412.19, 0, 10.4459, 10.4459, 10.4459, 0.119562
4, 2700.00000, 2389.39, 2432.15, 2409.08, 0, 10.3918, 10.3918, 10.3918, 0.119042
5, 0.00000, 2389.39, 2432.15, 2409.08, 0, 10.3918, 10.3918, 10.3918, 0.119065
5, 900.00000, 2389.39, 2432.15, 2409.08, 0, 10.3918, 10.3918, 10.3918, 0.119065
5, 1800.00000, 2382.83, 2429.02, 2404.55, 0, 10.7897, 10.7897, 10.7897, 0.128474
5, 2700.00000, 2382.83, 2429.02, 2404.55, 0, 10.7897, 10.7897, 10.7897, 0.128391
6, 0.00000, 2382.83, 2429.02, 2404.55, 0, 10.7897, 10.7897, 10.7897, 0.128391
6, 900.00000, 2382.83, 2429.02, 2404.55, 0, 10.7897, 10.7897, 10.7897, 0.128391
6, 1800.00000, 2382.83, 2429.02, 2404.55, 0, 10.7897, 10.7897, 10.7897, 0.128391
6, 2700.00000, 2380.63, 2424.59, 2402.37, 0, 11.7657, 11.7657, 11.7657, 0.114641
7, 0.00000, 2380.64, 2424.59, 2402.36, 0, 11.7657, 11.7657, 11.7657, 0.114625
7, 900.00000, 2380.64, 2424.59, 2402.36, 0, 11.7657, 11.7657, 11.7657, 0.114624
7, 1800.00000, 2375.88, 2419.36, 2398.17, 0, 13.39, 13.39, 13.39, 0.109236
7, 2700.00000, 2375.88, 2419.36, 2398.18, 0, 13.39, 13.39, 13.39, 0.10898
8, 0.00000, 2375.88, 2419.36, 2398.18, 0, 13.39, 13.39, 13.39, 0.108975
8, 900.00000, 2375.88, 2419.36, 2398.18, 0, 13.39, 13.39, 13.39, 0.108975
8, 1800.00000, 2375.88, 2419.36, 2398.18, 0, 13.39, 13.39, 13.39, 0.108975
8, 2700.00000, 2379.6, 2419.46, 2399.83, 0, 14.8997, 14.8997, 14.8997, 0.0989607
9, 0.00000, 2379.6, 2419.46, 2399.83, 0, 14.8997, 14.8997, 14.8997, 0.0989983
9, 900.00000, 2379.6, 2419.46, 2399.83, 0, 14.8997, 14.8997, 14.8997, 0.0989983
9, 1800.00000, 2388.7, 2417.53, 2405.52, 0, 15.7593, 15.7593, 15.7593, 0.0255444
9, 2700.00000, 2388.71, 2417.54, 2405.51, 0, 15.7593, 15.7593, 15.7593, 0.0257881
10, 0.00000, 2388.71, 2417.53, 2405.51, 0, 15.7593, 15.7593, 15.7593, 0.0257849
10, 900.00000, 2388.71, 2417.53, 2405.51, 0, 15.7593, 15.7593, 15.7593, 0.0257847
10, 1800.00000, 2388.71, 2417.53, 2405.51, 0, 15.7593, 15.7593, 15.7593, 0.0257847
10, 2700.00000, 2402.15, 2414.67, 2414, 0, 16.8338, 16.8338, 16.8338, 0.0982652
11, 0.00000, 2402.16, 2414.67, 2413.99, 0, 16.8338, 16.8338, 16.8338, 0.0979745
11, 900.00000, 2402.16, 2414.67, 2413.99, 0, 16.8338, 16.8338, 16.8338, 0.0979708
11, 1800.00000, 2397.62, 2408.81, 2410.64, 0, 17.7113, 17.7113, 17.7113, 0.133373
11, 2700.00000, 2397.62, 2408.82, 2410.63, 0, 17.7113, 17.7113, 17.7113, 0.133049
12, 0.00000, 2397.62, 2408.82, 2410.63, 0, 17.7113, 17.7113, 17.7113, 0.133044
12, 900.00000, 2397.62, 2408.82, 2410.63, 0, 17.7113, 17.7113, 17.7113, 0.133044
12, 1800.00000, 2397.62, 2408.82, 2410.63, 0, 17.7113, 17.7113, 17.7113, 0.133044
12, 2700.00000, 2398.43, 2406.15, 2411.36, 0, 17.6396, 17.6396, 17.6396, 0.163883
13, 0.00000, 2398.43, 2406.16, 2411.35, 0, 17.6396, 17.6396, 17.6396, 0.163566
13, 900.00000, 2398.43, 2406.16, 2411.35, 0, 17.6396, 17.6396, 17.6396, 0.16356
13, 1800.00000, 2401.53, 2408.5, 2413.49, 0, 17.5501, 17.5501, 17.5501, 0.162544
13, 2700.00000, 2401.53, 2408.5, 2413.48, 0, 17.5501, 17.5501, 17.5501, 0.162361
14, 0.00000, 2401.53, 2408.5, 2413.48, 0, 17.5501, 17.5501, 17.5501, 0.162359
14, 900.00000, 2401.53, 2408.5, 2413.48, 0, 17.5501, 17.5501, 17.5501, 0.162359
14, 1800.00000, 2401.53, 2408.5, 2413.48, 0, 17.5501, 17.5501, 17.5501, 0.162359
14, 2700.00000, 2402.54, 2409.07, 2414.07, 0, 17.7256, 17.7256, 17.7256, 0.167234
15, 0.00000, 2402.54, 2409.07, 2414.07, 0, 17.7256, 17.7256, 17.7256, 0.166698
15, 900.00000, 2402.54, 2409.07, 2414.07, 0, 17.7256, 17.7256, 17.7256, 0.166695
15, 1800.00000, 2398.08, 2407.55, 2410.95, 0, 17.8903, 17.8903, 17.8903, 0.152434
15, 2700.00000, 2398.08, 2407.55, 2410.95, 0, 17.8903, 17.8903, 17.8903, 0.152444
16, 0.00000, 2398.08, 2407.55, 2410.95, 0, 17.8903, 17.8903, 17.8903, 0.152444
16, 900.00000, 2398.08, 2407.55, 2410.95, 0, 17.8903, 17.8903, 17.8903, 0.152444
16, 1800.00000, 2398.08, 2407.55, 2410.95, 0, 17.8903, 17.8903, 17.8903, 0.152444
16, 2700.00000, 2380.64, 2405.52, 2399.15, 0, 17.9083, 17.9083, 17.9083, 0.0535684
17, 0.00000, 2380.64, 2405.52, 2399.15, 0, 17.9083, 17.9083, 17.9083, 0.0540741
17, 900.00000, 2380.64, 2405.52, 2399.15, 0, 17.9083, 17.9083, 17.9083, 0.0540749
17, 1800.00000, 2377.97, 2423.11, 2403.02, 0, 17.1561, 17.1561, 17.1561, 0.0923545
17, 2700.00000, 2377.96, 2423.1, 2403.02, 0, 17.1561, 17.1561, 17.1561, 0.0919515
18, 0.00000, 2377.96, 2423.1, 2403.02, 0, 17.1561, 17.1561, 17.1561, 0.0919546
18, 900.00000, 2377.96, 2423.1, 2403.02, 0, 17.1561, 17.1561, 17.1561, 0.091955
18, 1800.00000, 2377.96, 2423.1, 2403.02, 0, 17.1561, 17.1561, 17.1561, 0.091955
18, 2700.00000, 2362.91, 2428, 2393.46, 0, 16.7621, 16.7621, 16.7621, 0.242685
19, 0.00000, 2362.91, 2428, 2393.46, 0, 16.7621, 16.7621, 16.7621, 0.242557
19, 900.00000, 2362.91, 2428, 2393.46, 0, 16.7621, 16.7621, 16.7621, 0.242557
19, 1800.00000, 2367.14, 2433.67, 2396.39, 0, 16.3502, 16.3502, 16.3502, 0.280336
19, 2700.00000, 2367.14, 2433.66, 2396.39, 0, 16.3502, 16.3502, 16.3502, 0.280215
20, 0.00000, 2367.14, 2433.66, 2396.39, 0, 16.3502, 16.3502, 16.3502, 0.280215
20, 900.00000, 2367.14, 2433.66, 2396.39, 0, 16.3502, 16.3502, 16.3502, 0.280215
20, 1800.00000, 2367.14, 2433.66, 2396.39, 0, 16.3502, 16.3502, 16.3502, 0.280215
20, 2700.00000, 2375.27, 2436.97, 2401.91, 0, 15.6876, 15.6876, 15.6876, 0.257839
21, 0.00000, 2375.28, 2436.97, 2401.91, 0, 15.6876, 15.6876, 15.6876, 0.25774
21, 900.00000, 2375.28, 2436.97, 2401.91, 0, 15.6876, 15.6876, 15.6876, 0.25774
21, 1800.00000, 2368.7, 2433.48, 2397.62, 0, 15.6876, 15.6876, 15.6876, 0.259377
21, 2700.00000, 2368.69, 2433.48, 2397.62, 0, 15.6876, 15.6876, 15.6876, 0.259459
22, 0.00000, 2368.69, 2433.48, 2397.62, 0, 15.6876, 15.6876, 15.6876, 0.25946
22, 900.00000, 2368.69, 2433.48, 2397.62, 0, 15.6876, 15.6876, 15.6876, 0.25946
22, 1800.00000, 2368.69, 2433.48, 2397.62, 0, 15.6876, 15.6876, 15.6876, 0.25946
22, 2700.00000, 2375.01, 2435.96, 2402.18, 0, 14.828, 14.828, 14.828, 0.233391
23, 0.00000, 2375.01, 2435.96, 2402.18, 0, 14.828, 14.828, 14.828, 0.233348
23, 900.00000, 2375.01, 2435.96, 2402.18, 0, 14.828, 14.828, 14.828, 0.233347
23, 1800.00000, 2390.26, 2442.89, 2413.28, 0, 13.5386, 13.5386, 13.5386, 0.192066
23, 2700.00000, 2390.26, 2442.89, 2413.28, 0, 13.5386, 13.5386, 13.5386, 0.192027
24, 0.00000, 2390.26, 2442.89, 2413.28, 0, 13.5386, 13.5386, 13.5386, 0.192027
