hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
0, 900.00000, 1210.95, 366.853, 834.301, 192.019, 1004.51, 234.747
0, 1800.00000, 1210.89, 366.831, 834.349, 192.04, 1004.5, 234.734
0, 2700.00000, 1230.98, 310.083, 890.305, 152.351, 1043.8, 190.62
1, 0.00000, 1230.98, 310.087, 890.322, 152.354, 1043.75, 190.603
1, 900.00000, 1230.98, 310.087, 890.321, 152.354, 1043.75, 190.603
1, 1800.00000, 1156.09, 261.782, 841.423, 118.96, 982.933, 153.427
1, 2700.00000, 1156.1, 261.787, 841.421, 118.959, 982.932, 153.426
2, 0.00000, 1156.1, 261.787, 841.421, 118.959, 982.932, 153.426
2, 900.00000, 1156.1, 261.787, 841.421, 118.959, 982.932, 153.426
2, 1800.00000, 1156.1, 261.787, 841.421, 118.959, 982.932, 153.426
2, 2700.00000, 1179.58, 252.155, 872.229, 112.262, 1010.35, 145.97
3, 0.00000, 1179.63, 252.175, 872.274, 112.271, 1010.32, 145.956
3, 900.00000, 1179.63, 252.176, 872.274, 112.271, 1010.32, 145.956
3, 1800.00000, 1161.91, 230.91, 866.868, 97.5082, 999.222, 129.52
3, 2700.00000, 1161.9, 230.907, 866.876, 97.5109, 999.205, 129.514
4, 0.00000, 1161.9, 230.907, 866.876, 97.5109, 999.205, 129.514
4, 900.00000, 1161.9, 230.907, 866.876, 97.5109, 999.205, 129.514
4, 1800.00000, 1161.9, 230.907, 866.876, 97.5109, 999.205, 129.514
4, 2700.00000, 1176.71, 230.579, 882.798, 97.3205, 1014.59, 129.28
5, 0.00000, 1176.78, 230.603, 882.819, 97.3245, 1014.61, 129.283
5, 900.00000, 1176.78, 230.603, 882.818, 97.3243, 1014.61, 129.283
5, 1800.00000, 1170.56, 246.354, 866.405, 108.249, 1002.9, 141.438
5, 2700.00000, 1170.6, 246.37, 866.367, 108.239, 1002.98, 141.469
6, 0.00000, 1170.6, 246.369, 866.367, 108.239, 1002.98, 141.47
6, 900.00000, 1170.6, 246.369, 866.367, 108.239, 1002.98, 141.47
6, 1800.00000, 1170.6, 246.369, 866.367, 108.239, 1002.98, 141.47
6, 2700.00000, 1191.27, 289.849, 861.175, 138.418, 1009.67, 175.072
7, 0.00000, 1191.29, 289.852, 861.162, 138.414, 1009.7, 175.083
7, 900.00000, 1191.29, 289.852, 861.162, 138.414, 1009.71, 175.084
7, 1800.00000, 1206.83, 360.132, 834.299, 187.319, 1002.36, 229.489
7, 2700.00000, 1206.82, 360.126, 834.301, 187.321, 1002.37, 229.489
8, 0.00000, 1206.82, 360.126, 834.302, 187.321, 1002.37, 229.489
8, 900.00000, 1206.82, 360.126, 834.302, 187.321, 1002.37, 229.489
8, 1800.00000, 1206.82, 360.126, 834.302, 187.321, 1002.37, 229.489
8, 2700.00000, 1231.92, 427.048, 820.373, 234.092, 1006.41, 281.432
9, 0.00000, 1231.94, 427.049, 820.357, 234.09, 1006.45, 281.452
9, 900.00000, 1231.94, 427.049, 820.357, 234.09, 1006.45, 281.452
9, 1800.00000, 1232.55, 463.638, 799.391, 259.852, 995.295, 310.032
9, 2700.00000, 1232.56, 463.644, 799.39, 259.854, 995.274, 310.012
10, 0.00000, 1232.56, 463.644, 799.39, 259.854, 995.274, 310.012
10, 900.00000, 1232.56, 463.644, 799.39, 259.854, 995.274, 310.012
10, 1800.00000, 1232.56, 463.644, 799.39, 259.854, 995.274, 310.012
10, 2700.00000, 1255.49, 511.266, 793.052, 292.403, 1002.09, 346.343
11, 0.00000, 1255.48, 511.259, 793.053, 292.402, 1002.12, 346.364
11, 900.00000, 1255.48, 511.259, 793.053, 292.402, 1002.12, 346.364
11, 1800.00000, 1268.09, 550.454, 783.469, 320.019, 1002.72, 376.957
11, 2700.00000, 1268.11, 550.468, 783.466, 320.015, 1002.73, 376.961
12, 0.00000, 1268.11, 550.468, 783.466, 320.015, 1002.73, 376.961
12, 900.00000, 1268.11, 550.468, 783.466, 320.015, 1002.73, 376.961
12, 1800.00000, 1268.11, 550.468, 783.466, 320.015, 1002.73, 376.961
12, 2700.00000, 1261.99, 546.698, 779.314, 317.414, 997.59, 374.064
13, 0.00000, 1261.96, 546.671, 779.311, 317.41, 997.577, 374.053
13, 900.00000, 1261.96, 546.671, 779.311, 317.41, 997.577, 374.053
13, 1800.00000, 1273.78, 544.211, 793.021, 315.463, 1010.47, 371.965
13, 2700.00000, 1273.81, 544.236, 793.033, 315.477, 1010.48, 371.974
14, 0.00000, 1273.81, 544.237, 793.033, 315.477, 1010.48, 371.974
14, 900.00000, 1273.81, 544.237, 793.033, 315.477, 1010.48, 371.974
14, 1800.00000, 1273.81, 544.237, 793.033, 315.477, 1010.48, 371.974
14, 2700.00000, 1259.27, 550.072, 774.562, 319.877, 993.74, 376.754
15, 0.00000, 1259.24, 550.051, 774.546, 319.859, 993.731, 376.747
15, 900.00000, 1259.24, 550.051, 774.546, 319.859, 993.731, 376.747
15, 1800.00000, 1272.57, 558.658, 783.424, 325.786, 1004.74, 383.349
15, 2700.00000, 1272.63, 558.72, 783.43, 325.795, 1004.77, 383.373
16, 0.00000, 1272.63, 558.721, 783.43, 325.795, 1004.77, 383.373
16, 900.00000, 1272.63, 558.721, 783.43, 325.795, 1004.77, 383.373
16, 1800.00000, 1272.63, 558.721, 783.43, 325.795, 1004.77, 383.373
16, 2700.00000, 1275.49, 559.778, 785.672, 326.543, 1007.5, 384.204
17, 0.00000, 1275.5, 559.787, 785.674, 326.546, 1007.5, 384.208
17, 900.00000, 1275.5, 559.787, 785.674, 326.546, 1007.5, 384.208
17, 1800.00000, 1255.64, 525.027, 784.945, 302.239, 998.192, 357.236
17, 2700.00000, 1255.62, 525.012, 784.948, 302.242, 998.186, 357.232
18, 0.00000, 1255.62, 525.011, 784.949, 302.242, 998.186, 357.232
18, 900.00000, 1255.62, 525.011, 784.949, 302.242, 998.186, 357.232
18, 1800.00000, 1255.62, 525.011, 784.949, 302.242, 998.186, 357.232
18, 2700.00000, 1255.04, 508.007, 794.009, 290.208, 1003.13, 343.939
19, 0.00000, 1254.99, 507.951, 794.022, 290.22, 1003.1, 343.92
19, 900.00000, 1254.99, 507.951, 794.022, 290.22, 1003.1, 343.92
19, 1800.00000, 1251.38, 489.903, 800.721, 277.457, 1005.15, 329.814
19, 2700.00000, 1251.32, 489.838, 800.732, 277.466, 1005.12, 329.79
20, 0.00000, 1251.32, 489.837, 800.733, 277.467, 1005.12, 329.79
20, 900.00000, 1251.32, 489.837, 800.733, 277.467, 1005.12, 329.79
20, 1800.00000, 1251.32, 489.837, 800.733, 277.467, 1005.12, 329.79
20, 2700.00000, 1245.72, 460.846, 811.968, 257.033, 1008.57, 307.154
21, 0.00000, 1245.71, 460.837, 811.972, 257.036, 1008.57, 307.152
21, 900.00000, 1245.71, 460.837, 811.972, 257.036, 1008.57, 307.152
21, 1800.00000, 1245.71, 460.837, 811.972, 257.036, 1008.57, 307.152
21, 2700.00000, 1245.71, 460.837, 811.972, 257.036, 1008.57, 307.152
22, 0.00000, 1245.71, 460.837, 811.972, 257.036, 1008.57, 307.152
22, 900.00000, 1245.71, 460.837, 811.972, 257.036, 1008.57, 307.152
22, 1800.00000, 1245.71, 460.837, 811.972, 257.036, 1008.57, 307.152
22, 2700.00000, 1233.49, 422.601, 822.107, 230.307, 1008.45, 277.498
23, 0.00000, 1233.51, 422.608, 822.105, 230.305, 1008.45, 277.498
23, 900.00000, 1233.51, 422.608, 822.105, 230.305, 1008.45, 277.498
23, 1800.00000, 1215.39, 365.65, 837.419, 190.429, 1008.23, 233.205
23, 2700.00000, 1215.38, 365.645, 837.418, 190.429, 1008.25, 233.216
24, 0.00000, 1215.38, 365.644, 837.419, 190.429, 1008.25, 233.216
24, 900.00000, 1215.38, 365.644, 837.419, 190.429, 1008.25, 233.216
24, 1800.00000, 1215.38, 365.644, 837.419, 190.429, 1008.25, 233.216
24, 2700.00000, 1234.51, 308.275, 893.05, 150.469, 1047.09, 188.795
25, 0.00000, 1234.51, 308.276, 893.05, 150.469, 1047.09, 188.795
25, 900.00000, 1234.51, 308.276, 893.05, 150.469, 1047.09, 188.795
25, 1800.00000, 1158.1, 262.422, 844.109, 117.052, 985.936, 151.451
25, 2700.00000, 1158.15, 262.44, 844.07, 117.037, 985.948, 151.458
26, 0.00000, 1158.15, 262.44, 844.069, 117.037, 985.948, 151.459
26, 900.00000, 1158.15, 262.44, 844.069, 117.037, 985.948, 151.459
